INFO  - 2016-06-02 20:14:18.466; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2016-06-02 20:14:18.508; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/contexts at interval 0
INFO  - 2016-06-02 20:14:18.515; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/contexts/solr-jetty-context.xml
INFO  - 2016-06-02 20:14:18.596; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/webapps/solr.war!/ to /home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr-webapp/webapp
INFO  - 2016-06-02 20:14:20.068; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-06-02 20:14:20.098; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr-webapp/webapp/},/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/webapps/solr.war
INFO  - 2016-06-02 20:14:20.099; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr-webapp/webapp/},/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/webapps/solr.war
INFO  - 2016-06-02 20:14:20.125; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-06-02 20:14:20.147; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-06-02 20:14:20.148; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-06-02 20:14:20.162; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/example/solr/solr.xml
INFO  - 2016-06-02 20:14:20.167; org.apache.solr.core.CoreContainer; New CoreContainer 1014166943
INFO  - 2016-06-02 20:14:20.168; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2016-06-02 20:14:20.169; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-06-02 20:14:20.475; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-06-02 20:14:20.476; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2016-06-02 20:14:20.478; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-06-02 20:14:20.479; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-06-02 20:14:20.479; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-06-02 20:14:20.480; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-06-02 20:14:20.480; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-06-02 20:14:20.480; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-06-02 20:14:20.481; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-06-02 20:14:20.488; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2016-06-02 20:14:20.769; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2016-06-02 20:14:20.793; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: solr/collection1
INFO  - 2016-06-02 20:14:20.794; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/collection1/'
INFO  - 2016-06-02 20:14:20.876; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-06-02 20:14:20.878; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/dejucoder/Downloads/apache-nutch-2.3/solr-4.3.1/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
